new,old
Dream,Atlanta Dream
Sky,Chicago Sky
Sun,Connecticut Sun
Wings,Dallas Wings
Fever,Indiana Fever
Aces,Las Vegas Aces
Sparks,Los Angeles Sparks
Lynx,Minnesota Lynx
Liberty,New York Liberty
Mercury,Phoenix Mercury
Storm,Seattle Storm
Mystics,Washington Mystics
